Animal_Id,Cell_Id,ctl_peak,ctl_auc,ctl_thalf,peak_block100,auc_block100,peak_block75,auc_block75,peak_block50,auc_block50,peak_block25,auc_block25,apv_full_peak,apv_full_auc,mgfree_pd_peak,mgfree_anti_peak,ctl_anti_peak,ifen_peak,ifen_auc,ifen_thalf
EB20,155.0,126.98654295904274,45949.36770868579,175.79999999999,50.852874361608194,32309.6671429789,66.84251334237695,34065.19188732951,83.66799250949556,36483.36826310368,100.92093989488535,40143.14261757857,488.36529828940957,25277.89001031075,459.78369928986325,382.82353820538106,7.916723535615084,126.99592822593063,45952.001830302965,175.79999999999
EB20,156.0,113.58970859635706,48705.19315076516,466.79999999997347,64.33584266872592,28960.774493994428,62.93653243177029,32345.165517577803,69.00420383620852,36491.198082838455,84.61731903404372,41767.68977055269,282.2042752202354,14376.89526096242,330.2219904793257,294.2435570259023,0.0,74.24996072311798,30397.16835441773,
EB20,157.0,58.94514027296798,10456.895445578659,98.79999999999438,27.070167923337305,5167.34805006065,22.543762103323385,5849.76367450125,30.224596043043945,6963.099112847436,44.46546669605844,8468.341176188253,219.4215034154335,7751.729878246046,239.75177926516847,239.35755821355946,17.561792943683056,57.71886743040601,8978.711992066465,67.19999999999618
EB20,161.0,121.28060147324713,43361.45216844303,265.9999999999849,29.78957090313603,17656.48590258981,33.95666399108214,21380.26247074298,50.69878520051522,26376.943271011998,83.6335551882904,33505.33093410127,241.86275369662326,12272.884544945886,361.53380192736245,317.676628566226,7.992543756412171,88.39556642702745,20259.829035051058,36.39999999999793
EB20,162.0,112.63154425797836,52819.31314056884,,82.17998449302584,43705.2607406903,83.32883378944099,45276.07531478822,87.22092782355237,47151.419925271606,95.78630913613833,49530.37850230152,452.56191707197695,27147.360765507106,277.26293682711696,228.21929368962037,7.145794019769198,99.58687299540347,47201.24182153419,
EB20,163.0,143.2470179774685,61428.393932598985,,120.70331088079132,50168.40754717737,126.40791379019882,51934.636278334845,132.0478777211235,54133.58375475451,137.62385105406852,57074.00948917572,1000.0,56150.22080802953,343.1952381701984,283.5440479956052,0.0,138.89100658093938,53818.19084094176,
EB20,165.0,76.4433834728058,43872.45237581148,,61.71735713206631,38215.71063707489,63.801838960155585,39464.54085233608,66.5049786678763,40810.27877724993,71.11463759517983,42271.332335486266,240.75025056440796,18879.267378342025,122.07537311903451,81.20510183811831,0.0,69.45982103576064,39619.09486265577,
EB20,168.0,117.27068353794054,41809.815353804646,172.99999999999022,54.999561408444485,30401.716420919292,63.50892443619367,32008.17019640753,77.09088958590195,34134.17533975674,90.8896288785534,37151.71267698491,396.03606408877863,18739.01364090431,412.0772936217744,404.5705222216869,56.14356753346432,104.5614199576363,37461.39130493153,178.59999999998985
EB20,170.0,91.53036577188335,34120.7188653526,213.39999999998787,44.46607303626329,18881.041712339094,49.844860932853834,21467.946405328636,55.256020814253574,24609.652117984137,67.0680626088837,28633.362991449925,137.67409986953433,5534.862104811767,272.96029987021785,215.59018186357264,0.0,64.8579458240124,24063.78548526301,272.39999999998446
EB20,173.0,93.50225194915092,31237.1963148526,165.39999999999054,55.44806063478241,20139.344664801396,63.64948618185116,22368.235487075865,71.9075502532155,24880.36762136178,80.21817055242059,27778.48438719454,109.66434011089918,7721.1854687230225,272.2186364410769,261.40101898293557,52.09263802757935,86.06746064796283,25198.545348685762,135.19999999999231
